
"Reference","Value","Footprint","LCSC Part","Quantity","Description"
"U1","ESP32-C3-MINI-1","MODULE_ESP32_C3","C2933099","1","Microcontrôleur Wi-Fi/BLE avec antenne PCB intégrée"
"U2","Quectel L76-LB","MODULE_L76_LB","N/A","1","Module GNSS multi-constellation"
"U3","MPU6050","QFN-24_4x4mm","C24112","1","Centrale Inertielle 6-axes (Accéléromètre + Gyroscope)"
"U4","W25Q32JVSSIQ","SOIC-8_3.9x4.9mm","C82317","1","Mémoire Flash SPI 32M-bit (Stockage trames chiffrées)"
"U5","TPS63070","VQFN-15","N/A","1","Régulateur Buck-Boost 3.3V"
"U6","BQ24075","VQFN-16","N/A","1","Chargeur LiPo USB 5V"
"BAT1","Lipo 3.7V 1000mAh","2_PIN_1.25mm","N/A","1","Batterie principale (Alimentation autonome)"
"D1","ESD5Z5.0","SOD-523","N/A","1","Diode de protection ESD pour USB 5V"
"R1","10k","0402","C25744","1","Résistance Pull-Up (Tamper Loop)"
"C1, C2","10uF","0603","C19702","2","Condensateurs de découplage VCC"
"J1","CONN_TAMPER","PAD_2x1","N/A","1","Pastilles pour soudure du fil anti-effraction"
"J2","USB_C_RECPT","USB-C-SMD","N/A","1","Port USB-C pour la recharge 5V"
